Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default
1764,Rent,1358443,4 years,0,13,24.5,1253296,0,,0,debt consolidation,Long Term,99999999,313899,16980,744,0
1765,Home Mortgage,,2 years,0,16,10.7,809050,0,,0,debt consolidation,Short Term,153560,299744,13630,,0
1766,Rent,1542040,10+ years,0,7,26.5,638264,0,,0,debt consolidation,Long Term,99999999,473499,19944,734,0
1767,Own Home,269534,,0,6,24.5,193380,0,50,0,debt consolidation,Short Term,99999999,115748,4717,700,0
1768,Home Mortgage,2351250,10+ years,0,7,17.7,531432,1,70,1,other,Short Term,221342,46360,1431,736,0
1769,Home Mortgage,2915759,2 years,0,43,29,1729882,0,,0,home improvements,Long Term,715484,448191,40578,672,0
1770,Home Mortgage,1633753,3 years,0,11,17,307648,0,,0,debt consolidation,Long Term,99999999,237006,14704,728,0
1771,Rent,1263291,3 years,0,5,13.3,211464,0,,0,debt consolidation,Short Term,368500,131138,3979,6910,1
1772,Home Mortgage,1587070,10+ years,0,11,26.5,2001472,0,61,0,debt consolidation,Long Term,302676,618830,20235,720,0
1773,Home Mortgage,713526,10+ years,0,8,12.7,783706,0,37,0,debt consolidation,Short Term,199342,598994,9454,732,0
1774,Rent,1872830,3 years,0,4,8.4,444466,0,,0,debt consolidation,Short Term,99999999,363508,7897,713,0
1775,Home Mortgage,,5 years,0,8,13.8,303446,0,,0,debt consolidation,Long Term,381612,221445,6790,,0
1776,Home Mortgage,,10+ years,0,7,21.5,727958,0,,0,home improvements,Long Term,358446,49666,17155,,0
1777,Rent,1942845,6 years,1,19,9.5,925056,1,14,0,debt consolidation,Short Term,352880,209304,13859,740,0
1778,Own Home,1070802,2 years,0,13,22,737176,0,30,0,debt consolidation,Long Term,265694,345059,19632,737,0
1779,Rent,821579,1 year,0,10,11.4,747956,0,,0,debt consolidation,Short Term,263956,273239,14309,731,0
1780,Home Mortgage,1180717,< 1 year,0,10,13.7,1042998,0,,0,debt consolidation,Short Term,506066,674671,25779,703,1
1781,Rent,,8 years,0,28,19.7,712602,0,,0,other,Short Term,217910,219089,11988,,1
1782,Rent,1116098,< 1 year,0,6,18,612766,0,12,0,debt consolidation,Short Term,516934,388968,11626,705,0
1783,Rent,951520,8 years,0,11,19.3,242352,1,79,1,debt consolidation,Short Term,330528,122227,12370,718,0
1784,Own Home,1122900,4 years,0,8,18.1,114818,0,57,0,debt consolidation,Short Term,325050,84968,10855,7330,1
1785,Home Mortgage,1551312,10+ years,0,9,21,323422,1,46,1,debt consolidation,Short Term,336798,247475,13445,732,0
1786,Home Mortgage,1399350,10+ years,0,8,29.7,535502,0,12,0,debt consolidation,Long Term,604912,346845,24722,686,0
1787,Home Mortgage,1503584,10+ years,0,14,23,427042,0,18,0,other,Short Term,104456,127243,15286,715,0
1788,Rent,631598,10+ years,0,12,14.8,400224,0,,0,debt consolidation,Short Term,154858,164521,7053,734,0
1789,Rent,,10+ years,0,14,12.9,408232,0,9,0,debt consolidation,Long Term,262130,192508,30901,,1
1790,Rent,1313622,10+ years,0,9,19.1,319220,1,53,1,home improvements,Long Term,760518,102011,20471,653,1
1791,Rent,,< 1 year,0,14,27.4,3567982,0,,0,debt consolidation,Long Term,658548,2431259,48833,,1
1792,Rent,,3 years,0,11,15.7,239250,0,,0,other,Long Term,768614,59299,23436,,1
1793,Rent,763496,10+ years,0,12,17.6,1700644,0,,0,debt consolidation,Short Term,232056,512601,17242,750,0
1794,Rent,925300,3 years,0,9,8.7,247852,0,,0,debt consolidation,Short Term,265628,157339,10255,723,0
1795,Home Mortgage,1021174,10+ years,0,18,17.5,1665774,0,,0,other,Short Term,99999999,487692,25019,733,0
1796,Rent,1483672,10+ years,0,17,21,319858,1,75,1,debt consolidation,Short Term,383856,170715,23121,700,0
1797,Own Home,1812581,3 years,0,17,17.3,1607056,0,,0,debt consolidation,Long Term,381656,845234,49997,723,1
1798,Home Mortgage,1037438,5 years,0,24,24.8,1386066,0,,0,home improvements,Short Term,111650,660782,23256,738,0
1799,Home Mortgage,1160634,< 1 year,0,21,29.6,2287142,0,12,0,debt consolidation,Short Term,246378,280478,11316,751,0
1800,Rent,1444285,8 years,0,8,35,810194,0,,0,debt consolidation,Long Term,660132,412129,11879,728,0
1801,Home Mortgage,1307124,2 years,0,8,14.1,388828,1,42,1,home improvements,Short Term,172964,60439,9150,742,0
1802,Rent,1043651,< 1 year,0,12,15,0,0,,0,debt consolidation,Short Term,175780,0,19394,720,1
1803,Home Mortgage,1163370,4 years,0,3,15,38170,0,25,0,other,Short Term,71852,28709,3471,736,1
1804,Rent,1651480,10+ years,0,11,20.2,1044340,0,6,0,debt consolidation,Short Term,631400,505989,23121,733,0
1805,Home Mortgage,1892172,7 years,0,9,22.7,1340966,0,,0,business loan,Short Term,402424,933432,29676,7250,1
1806,Home Mortgage,1445995,10+ years,0,16,15.1,723338,0,,0,medical bills,Short Term,321992,526623,28317,720,1
1807,Rent,1265381,10+ years,0,16,11.9,592944,0,54,0,debt consolidation,Short Term,225412,377929,28365,713,1
1808,Rent,1432562,1 year,0,11,18.1,762982,0,,0,other,Long Term,552926,408538,27469,614,1
1809,Home Mortgage,786030,5 years,0,4,13.1,21670,0,6,0,debt consolidation,Short Term,78562,7296,16638,700,0
1810,Rent,674842,< 1 year,0,10,7,203236,0,,0,other,Short Term,89298,107236,14115,691,0
1811,Home Mortgage,2562701,1 year,0,23,27,1183292,0,18,0,debt consolidation,Short Term,395648,400596,50827,721,0
1812,Own Home,962065,4 years,0,9,16.9,443586,1,,1,debt consolidation,Short Term,233926,114931,7584,721,0
1813,Rent,646133,8 years,0,14,12.7,297440,0,,0,debt consolidation,Short Term,125774,143849,18576,705,1
1814,Rent,642181,< 1 year,0,11,13.6,216634,0,8,0,debt consolidation,Short Term,183700,132278,9686,732,0
1815,Home Mortgage,1170666,10+ years,0,18,28.3,444510,1,,1,debt consolidation,Short Term,259798,226499,10634,697,0
1816,Home Mortgage,,10+ years,0,4,32.8,0,0,50,0,debt consolidation,Short Term,266244,0,6323,,0
1817,Home Mortgage,2105010,10+ years,0,27,33,1601358,0,45,0,debt consolidation,Long Term,712712,847780,56660,713,1
1818,Rent,1002915,10+ years,0,10,11.1,348392,0,60,0,debt consolidation,Long Term,215050,214529,13623,688,0
1819,Rent,1512096,10+ years,0,6,12.5,207944,0,,0,debt consolidation,Short Term,153208,132354,13861,735,0
1820,Home Mortgage,,10+ years,0,8,23.1,626142,0,,0,debt consolidation,Long Term,388366,304988,12174,,0
1821,Rent,744800,,0,11,15.3,265672,0,74,0,debt consolidation,Short Term,261250,161766,4854,697,0
1822,Rent,637089,2 years,0,6,16.9,395780,0,,0,debt consolidation,Long Term,323026,26657,4481,724,0
1823,Rent,,3 years,0,23,12.3,677820,0,,0,debt consolidation,Short Term,149556,440230,20730,,0
1824,Rent,1327872,5 years,0,5,9,125268,0,,0,debt consolidation,Short Term,153758,86222,4504,705,1
1825,Own Home,1947500,3 years,0,11,9.4,583924,0,,0,buy a car,Long Term,99999999,274854,24344,743,0
1826,Home Mortgage,,5 years,0,20,12,54692,0,27,0,moving,Short Term,46486,5187,7348,,1
1827,Rent,,7 years,0,27,18.7,264440,0,64,0,debt consolidation,Long Term,520718,64410,22798,,0
1828,Rent,,1 year,0,15,13.5,492492,0,73,0,debt consolidation,Short Term,42944,19988,2921,,0
1829,Rent,1008805,2 years,0,15,21.1,1721324,0,,0,debt consolidation,Short Term,427020,454898,10340,737,0
1830,Home Mortgage,689073,10+ years,0,8,15.8,239646,1,,1,debt consolidation,Short Term,219824,139707,12690,740,0
1831,Rent,1167702,3 years,0,6,18.3,322278,0,,0,debt consolidation,Short Term,99999999,132202,8115,742,0
1832,Home Mortgage,1230554,10+ years,0,10,13,210430,1,6,0,debt consolidation,Short Term,99999999,158308,13126,739,0
1833,Home Mortgage,664544,3 years,0,13,13.5,205106,0,,0,debt consolidation,Short Term,214104,144001,9470,742,0
1834,Home Mortgage,,< 1 year,0,20,11.8,579348,0,,0,debt consolidation,Long Term,304018,267178,21990,,0
1835,Rent,1397222,2 years,0,11,9.3,906510,0,,0,debt consolidation,Long Term,569470,191805,14904,685,1
1836,Home Mortgage,522177,10+ years,0,10,31.5,445082,0,,0,other,Short Term,109604,233700,7137,746,0
1837,Home Mortgage,3696640,5 years,0,15,25.5,1237170,0,,0,debt consolidation,Long Term,630784,644290,62535,724,0
1838,Rent,1315636,3 years,0,11,18.9,2181850,0,12,0,other,Short Term,59840,700967,21050,728,0
1839,Home Mortgage,1807945,10+ years,0,23,15.6,1245200,0,,0,debt consolidation,Long Term,99999999,596847,17025,636,0
1840,Rent,1261524,4 years,0,11,19.6,1470744,0,,0,debt consolidation,Short Term,644050,617310,17241,742,0
1841,Home Mortgage,2328450,7 years,0,11,18.7,364804,0,65,0,debt consolidation,Short Term,181170,138947,19598,743,0
1842,Home Mortgage,,2 years,0,11,16,459976,1,,1,debt consolidation,Short Term,261602,305881,23117,,1
1843,Home Mortgage,847647,6 years,0,15,17.9,235642,0,71,0,debt consolidation,Long Term,370788,141436,20273,691,0
1844,Home Mortgage,810692,4 years,0,7,28,773762,0,,0,debt consolidation,Short Term,134090,149682,3358,750,0
1845,Home Mortgage,2257162,10+ years,0,13,17.5,814836,0,,0,debt consolidation,Short Term,99999999,403237,29531,749,0
1846,Home Mortgage,,9 years,0,13,19.6,320254,0,33,0,debt consolidation,Short Term,259644,220419,19340,,0
1847,Rent,1524218,6 years,0,4,14.3,888976,0,,0,debt consolidation,Long Term,518584,19190,1829,640,1
1848,Rent,2474199,1 year,0,12,16.1,645986,0,80,0,debt consolidation,Short Term,440748,365978,34639,741,0
1849,Home Mortgage,1492792,6 years,0,11,16.6,1519122,0,,0,debt consolidation,Short Term,350020,220419,13808,751,0
1850,Rent,1088548,10+ years,0,12,30.3,1348512,0,63,0,debt consolidation,Long Term,451484,682461,26397,718,1
1851,Home Mortgage,2862255,1 year,0,14,19.8,856658,0,,0,debt consolidation,Short Term,265144,398772,41741,747,0
1852,Home Mortgage,1303001,10+ years,0,9,18.8,655358,0,,0,debt consolidation,Short Term,323312,258096,25191,743,1
1853,Rent,661675,7 years,0,14,13.7,527274,0,19,0,debt consolidation,Short Term,99999999,226309,8050,730,0
1854,Rent,769177,4 years,0,13,12.7,380578,1,79,1,debt consolidation,Short Term,178046,81187,14358,727,0
1855,Home Mortgage,1009147,10+ years,0,16,25.9,874390,0,,0,debt consolidation,Long Term,490424,599583,25565,680,0
1856,Own Home,868604,4 years,0,7,11.3,1010724,0,,0,debt consolidation,Long Term,402292,375345,17951,694,0
1857,Rent,2644572,9 years,0,11,21.8,1188088,0,,0,debt consolidation,Short Term,544632,515090,23360,746,0
1858,Rent,643378,1 year,0,7,10.9,550770,0,,0,buy a car,Short Term,75438,74195,9329,736,0
1859,Home Mortgage,2056351,10+ years,0,17,14,1022714,0,,0,debt consolidation,Long Term,601744,391286,29132,718,0
1860,Rent,753920,2 years,2,8,17.1,202994,4,,1,debt consolidation,Short Term,196416,157776,13885,725,0
1861,Rent,1155390,10+ years,1,25,30.7,191818,2,,0,debt consolidation,Short Term,22308,78356,18968,740,0
1862,Home Mortgage,1245051,10+ years,0,17,17.8,719334,0,13,0,debt consolidation,Short Term,262174,370880,33616,6890,1
1863,Home Mortgage,1719310,10+ years,0,9,16.8,343244,0,,0,home improvements,Long Term,262526,168378,12293,725,0
1864,Rent,,5 years,0,8,10.2,365134,0,,0,debt consolidation,Short Term,249326,250382,11549,,0
1865,Home Mortgage,,4 years,0,9,17.1,260084,0,37,0,debt consolidation,Short Term,285934,75240,5749,,1
1866,Own Home,745864,1 year,0,12,5.6,546920,0,,0,debt consolidation,Short Term,99999999,166744,5557,742,0
1867,Rent,761292,2 years,0,8,11.2,138886,0,73,0,other,Short Term,132220,88274,13450,740,0
1868,Rent,750880,4 years,0,11,7.4,504350,0,,0,debt consolidation,Short Term,104324,179892,18897,726,0
1869,Home Mortgage,1400072,10+ years,0,14,27.6,820556,1,23,1,debt consolidation,Short Term,77814,295507,24268,654,0
1870,Home Mortgage,1424012,10+ years,0,12,15.6,767360,0,,0,debt consolidation,Long Term,725054,440705,16851,713,1
1871,Home Mortgage,,3 years,0,3,15.3,242836,0,,0,debt consolidation,Short Term,116182,43206,1136,,0
1872,Home Mortgage,,10+ years,0,17,16.8,946022,0,22,0,home improvements,Short Term,286110,298205,21609,,1
1873,Home Mortgage,1387798,10+ years,0,8,17.9,440902,1,,1,debt consolidation,Short Term,129074,31597,23940,732,0
1874,Rent,1232036,6 years,1,9,10.4,779680,1,43,0,medical bills,Short Term,373098,26942,472,721,0
1875,Home Mortgage,2214507,< 1 year,0,9,25.8,735966,0,,0,debt consolidation,Long Term,780406,469072,11940,6860,1
1876,Rent,,10+ years,0,8,25.3,376772,0,9,0,debt consolidation,Short Term,348040,226138,26978,,0
1877,Home Mortgage,1916302,1 year,0,11,13.9,116270,0,55,0,debt consolidation,Short Term,115786,85956,14436,730,0
1878,Home Mortgage,950000,2 years,0,16,15.2,503492,0,,0,debt consolidation,Long Term,352000,221768,23433,687,1
1879,Home Mortgage,1433835,6 years,0,8,17.8,12701436,0,35,0,debt consolidation,Short Term,197384,1985462,14099,749,0
1880,Home Mortgage,1667535,5 years,0,15,17.5,2580226,0,68,0,debt consolidation,Short Term,263890,249584,11562,750,0
1881,Rent,,10+ years,0,14,18.7,455202,0,21,0,debt consolidation,Short Term,256102,117154,17000,,0
1882,Home Mortgage,928872,10+ years,0,9,33.2,451066,1,,1,debt consolidation,Long Term,473418,135185,12385,721,1
1883,Home Mortgage,,10+ years,0,19,19,1187076,0,78,0,debt consolidation,Long Term,487542,307553,31579,,1
1884,Own Home,1330532,2 years,0,9,16.9,202268,0,,0,debt consolidation,Short Term,176066,46816,20401,730,1
1885,Home Mortgage,2332440,< 1 year,0,16,21.7,2787532,0,,0,debt consolidation,Short Term,99999999,2101666,55979,747,0
1886,Own Home,1243531,9 years,0,8,15.5,133012,0,12,0,debt consolidation,Short Term,221518,64106,13368,706,1
1887,Home Mortgage,,5 years,0,6,13.6,119724,0,,0,other,Short Term,91938,76209,15223,,0
1888,Own Home,577296,4 years,0,8,6.7,166936,0,,0,debt consolidation,Short Term,213906,65018,4484,726,1
1889,Own Home,968316,2 years,0,14,14.6,450714,0,,0,debt consolidation,Short Term,501248,274816,27517,733,0
1890,Rent,790419,< 1 year,0,22,23.7,382954,0,,0,debt consolidation,Short Term,156904,109478,8233,733,0
1891,Rent,944680,10+ years,0,13,15.3,386056,0,35,0,debt consolidation,Short Term,290202,213389,17162,709,0
1892,Rent,461491,1 year,0,8,28.3,517550,0,55,0,debt consolidation,Short Term,107734,219925,13191,7300,1
1893,Home Mortgage,1642303,10+ years,0,12,21.5,375452,1,,1,debt consolidation,Short Term,99999999,74252,39826,748,0
1894,Rent,958094,8 years,0,6,17.6,0,0,21,0,other,Short Term,109780,0,11816,725,0
1895,Home Mortgage,1049085,10+ years,0,12,15,693154,0,20,0,debt consolidation,Long Term,542762,491473,22030,718,1
1896,Home Mortgage,1263158,9 years,0,18,23.2,2143900,0,,0,debt consolidation,Short Term,577170,666558,21789,745,0
1897,Home Mortgage,899783,10+ years,0,8,23.9,402732,0,38,0,debt consolidation,Long Term,350196,230261,16796,692,0
1898,Rent,1721457,3 years,0,5,12.5,93742,0,45,0,business loan,Short Term,243628,3477,17975,734,0
1899,Rent,1258959,< 1 year,0,10,11.2,396616,0,32,0,debt consolidation,Short Term,99999999,153102,17416,728,0
1900,Rent,1027957,10+ years,0,9,14,423280,1,,1,debt consolidation,Long Term,396748,230679,7838,6520,1
1901,Home Mortgage,810920,2 years,0,17,19,408782,0,,0,debt consolidation,Short Term,99999999,163457,20118,747,0
1902,Rent,1048667,10+ years,0,11,14.6,680020,0,,0,debt consolidation,Short Term,229592,320074,15817,738,0
1903,Rent,1360191,3 years,0,10,10.8,350988,0,,0,debt consolidation,Long Term,449988,232503,36498,6810,1
1904,Own Home,1147448,8 years,0,16,24.6,1068430,0,,0,debt consolidation,Short Term,270226,370937,22949,745,0
1905,Home Mortgage,1053607,,0,5,9.4,152790,0,,0,debt consolidation,Short Term,99999999,118085,19667,749,0
1906,Own Home,695020,5 years,0,10,23,53680,0,,0,other,Short Term,99999999,35416,13900,722,0
1907,Home Mortgage,,9 years,0,12,14.4,744326,0,,0,debt consolidation,Short Term,174636,627399,29999,,0
1908,Rent,,5 years,0,10,19.1,927894,0,,0,debt consolidation,Short Term,155210,294899,7679,,0
1909,Home Mortgage,837729,10+ years,0,5,17.9,76450,1,,1,debt consolidation,Short Term,147114,38285,17313,719,1
1910,Own Home,620958,< 1 year,0,13,14.9,422928,0,35,0,debt consolidation,Short Term,224686,115786,8072,721,0
1911,Rent,949620,5 years,0,11,14.4,676566,0,55,0,debt consolidation,Short Term,269280,268774,15590,744,0
1912,Home Mortgage,617785,8 years,0,7,8.6,409992,0,,0,debt consolidation,Short Term,215138,234403,19718,663,0
1913,Home Mortgage,,10+ years,0,6,31.7,404338,1,,1,debt consolidation,Short Term,441034,106856,8250,,0
1914,Home Mortgage,2458087,10+ years,0,12,25.6,724944,0,7,0,debt consolidation,Long Term,539066,353742,9627,730,0
1915,Rent,,6 years,0,6,9.2,265738,0,,0,debt consolidation,Long Term,223278,205865,6122,,1
1916,Home Mortgage,1879860,10+ years,0,9,12.9,274648,0,,0,debt consolidation,Short Term,353936,189753,25065,746,0
1917,Rent,745180,1 year,0,6,12.8,532972,0,,0,debt consolidation,Short Term,99999999,257317,10122,737,0
1918,Home Mortgage,,4 years,0,14,15,106744,0,20,0,other,Short Term,104500,72827,16296,,0
1919,Home Mortgage,1454507,7 years,0,16,16,394900,0,15,0,debt consolidation,Short Term,99999999,190988,21090,720,0
1920,Home Mortgage,738549,,0,10,9,454608,0,72,0,other,Short Term,150700,126806,17971,695,1
1921,Home Mortgage,2829480,2 years,0,8,19.8,601018,1,,1,debt consolidation,Short Term,99999999,349334,15704,737,0
1922,Own Home,673987,10+ years,0,8,13.5,390148,0,,0,debt consolidation,Short Term,222970,305938,15445,7260,1
1923,Home Mortgage,455715,,0,11,38.8,540210,0,,0,debt consolidation,Short Term,153164,219735,7975,744,1
1924,Rent,1059611,8 years,0,11,16.2,443630,0,22,0,debt consolidation,Short Term,99999999,237937,14128,745,0
1925,Home Mortgage,933280,1 year,0,13,12.5,795586,0,,0,home improvements,Long Term,146960,462422,19054,739,0
1926,Rent,1161109,10+ years,0,15,19.6,398992,1,63,1,debt consolidation,Short Term,260590,108889,29125,736,0
1927,Home Mortgage,1988217,6 years,0,27,11.4,1082994,0,,0,debt consolidation,Short Term,526196,369455,23693,747,0
1928,Home Mortgage,1148208,,2,8,22,489896,2,78,0,debt consolidation,Long Term,531806,247513,22582,737,0
1929,Home Mortgage,1306193,10+ years,0,10,21,607046,0,,0,debt consolidation,Short Term,259270,498579,33090,741,0
1930,Rent,1558304,9 years,0,14,12,191180,0,58,0,debt consolidation,Short Term,158422,41762,35192,724,0
1931,Home Mortgage,2773468,10+ years,0,8,29,3979206,0,12,0,debt consolidation,Short Term,99999999,3271629,43682,727,0
1932,Home Mortgage,868680,4 years,0,7,6.7,221188,0,,0,debt consolidation,Long Term,250338,133912,4322,714,0
1933,Own Home,1517416,10+ years,0,4,17.1,294382,0,,0,debt consolidation,Short Term,237204,216106,5994,709,0
1934,Home Mortgage,831231,8 years,0,6,14.1,126852,0,12,0,debt consolidation,Short Term,131252,95304,11707,736,0
1935,Home Mortgage,535876,,0,16,17.5,861762,0,13,0,debt consolidation,Long Term,248182,317794,12504,656,0
1936,Home Mortgage,822795,1 year,0,11,10.5,686334,0,,0,debt consolidation,Short Term,265870,183160,10765,747,0
1937,Home Mortgage,1360989,10+ years,0,12,23.4,1111462,0,,0,debt consolidation,Short Term,245960,289883,20075,750,0
1938,Rent,1423993,9 years,0,7,11.7,492514,0,,0,debt consolidation,Long Term,427812,302005,8259,698,0
1939,Rent,325926,5 years,0,7,28.9,141526,0,,0,debt consolidation,Short Term,80872,59527,4808,742,0
1940,Rent,951330,4 years,0,6,17,176330,0,,0,other,Short Term,139898,41876,2838,738,1
1941,Home Mortgage,1601092,10+ years,0,15,18.6,785620,0,50,0,debt consolidation,Short Term,323730,232731,26818,748,0
1942,Rent,,< 1 year,0,9,13.8,207218,0,9,0,debt consolidation,Short Term,110198,117572,12667,,1
1943,Rent,,5 years,2,14,14.6,607200,3,5,1,debt consolidation,Short Term,327140,116413,10815,,0
1944,Rent,794580,6 years,0,11,20.5,617122,0,,0,debt consolidation,Short Term,201960,187074,7151,739,1
1945,Rent,,2 years,0,16,13.1,349140,0,30,0,vacation,Short Term,216106,104633,11120,,1
1946,Rent,657286,2 years,0,6,8.4,100056,0,,0,debt consolidation,Short Term,208758,66614,8764,740,0
1947,Rent,,1 year,0,4,11.4,895312,0,,0,debt consolidation,Short Term,151250,167789,5940,,0
1948,Rent,978215,7 years,0,17,18.1,762938,0,76,0,debt consolidation,Short Term,326744,412471,22499,741,1
1949,Home Mortgage,,7 years,0,14,14.7,498432,0,,0,other,Long Term,433840,218253,24667,,1
1950,Home Mortgage,1836768,7 years,0,33,33,2597628,0,,0,debt consolidation,Long Term,694012,695457,36888,734,1
1951,Home Mortgage,1305395,7 years,0,13,23.4,583462,1,9,0,debt consolidation,Long Term,280720,238355,11531,648,0
1952,Home Mortgage,1619427,10+ years,0,10,16.4,736208,0,34,0,debt consolidation,Long Term,504042,467324,25911,733,0
1953,Rent,608057,8 years,0,11,28.6,250932,0,37,0,other,Short Term,110022,59375,9222,720,1
1954,Rent,808621,3 years,0,8,7.9,187132,0,32,0,other,Long Term,222926,92606,22035,710,0
1955,Own Home,558087,,0,9,14.5,159434,0,,0,other,Short Term,77550,100662,10278,708,0
1956,Rent,825664,6 years,0,10,8.8,262416,0,,0,debt consolidation,Short Term,68926,146414,22086,686,0
1957,Rent,1088795,6 years,0,8,9.7,304392,0,,0,debt consolidation,Short Term,225126,69141,19326,751,0
1958,Home Mortgage,2067010,10+ years,0,8,13.8,147444,0,41,0,debt consolidation,Short Term,217580,11970,29283,722,0
1959,Home Mortgage,1168519,10+ years,0,9,15,676390,0,8,0,debt consolidation,Long Term,365090,352830,11977,725,0
1960,Home Mortgage,1953314,3 years,0,7,26.3,667458,0,20,0,debt consolidation,Short Term,332618,352203,14064,747,0
1961,Home Mortgage,,9 years,0,7,13.6,114400,0,9,0,major purchase,Short Term,224422,85481,16252,,0
1962,Home Mortgage,1427280,10+ years,0,3,21.8,220264,0,,0,debt consolidation,Short Term,165264,145711,3497,710,0
1963,Rent,,2 years,0,7,22.3,73150,0,25,0,debt consolidation,Short Term,251196,23940,17432,,1
1964,Rent,,10+ years,0,21,20.4,2162138,0,,0,debt consolidation,Long Term,652938,883234,45402,,0
1965,Home Mortgage,754452,6 years,0,10,33.8,500368,0,,0,debt consolidation,Long Term,384912,420888,15089,668,1
1966,Home Mortgage,1497257,< 1 year,0,15,20.5,1144462,0,,0,debt consolidation,Long Term,666798,682974,14474,729,1
1967,Home Mortgage,1043651,10+ years,0,7,27.7,148302,1,46,1,debt consolidation,Short Term,223784,81966,4409,728,0
1968,Rent,1910070,3 years,0,8,7.4,367224,0,,0,major purchase,Short Term,265408,178562,9773,740,0
1969,Home Mortgage,1071030,4 years,0,16,13,493592,1,46,1,debt consolidation,Long Term,338228,215707,14994,725,0
1970,Rent,2069651,10+ years,0,12,14.5,197340,0,8,0,debt consolidation,Short Term,221892,98515,17937,728,0
1971,Rent,774516,3 years,0,5,10.5,239778,0,,0,debt consolidation,Long Term,269038,208544,11682,694,1
1972,Rent,818064,< 1 year,0,11,18,548680,0,7,0,debt consolidation,Long Term,330440,221768,15134,733,1
1973,Home Mortgage,,1 year,0,23,39,2592854,0,44,0,debt consolidation,Short Term,735460,936016,23714,,1
1974,Rent,1696320,< 1 year,0,16,21.9,983598,0,,0,debt consolidation,Short Term,518012,586131,25162,748,1
1975,Home Mortgage,1554200,10+ years,0,9,20.8,854128,0,,0,debt consolidation,Long Term,99999999,368828,20334,734,0
1976,Rent,918384,3 years,0,8,8.5,733326,0,42,0,other,Short Term,55396,400900,9643,707,0
1977,Home Mortgage,1442385,10+ years,0,15,23.6,378708,1,,1,debt consolidation,Long Term,393030,136059,11659,6620,1
1978,Home Mortgage,,3 years,0,11,13.4,189794,0,36,0,debt consolidation,Long Term,261646,157358,15682,,1
1979,Rent,402990,4 years,0,9,11,512028,0,,0,debt consolidation,Short Term,134992,180861,5272,738,1
1980,Rent,1343167,10+ years,0,15,10.5,417758,0,,0,debt consolidation,Short Term,222178,291156,16230,746,1
1981,Rent,764940,3 years,0,9,10.5,455862,0,,0,debt consolidation,Short Term,252428,175199,16000,716,0
1982,Rent,1140114,10+ years,0,5,17.8,503778,0,,0,debt consolidation,Short Term,396044,345895,9406,730,0
1983,Home Mortgage,2151541,10+ years,0,13,25.4,2318932,0,7,0,debt consolidation,Short Term,99999999,330448,15025,745,0
1984,Home Mortgage,8758449,10+ years,0,10,20.6,0,0,,0,home improvements,Short Term,99999999,2759503,12919,748,0
1985,Own Home,994517,10+ years,0,10,14.7,205964,0,47,0,debt consolidation,Long Term,237512,91067,19145,698,1
1986,Home Mortgage,1185543,10+ years,0,8,13,238854,0,51,0,debt consolidation,Long Term,226952,86640,4762,673,1
1987,Home Mortgage,2616908,10+ years,0,21,20.2,1266254,0,80,0,debt consolidation,Short Term,216436,804878,27478,716,0
1988,Rent,593408,4 years,0,5,13.6,287408,0,,0,debt consolidation,Short Term,193248,84398,6082,748,0
1989,Rent,2074952,10+ years,0,12,28.4,729454,0,,0,debt consolidation,Short Term,524194,398145,44785,730,1
1990,Home Mortgage,1620662,10+ years,0,15,23,1313862,0,,0,debt consolidation,Long Term,772706,512886,30792,729,0
1991,Rent,806797,2 years,0,17,15.2,962500,0,,0,debt consolidation,Short Term,260700,371564,16068,744,1
1992,Own Home,1443240,10+ years,0,6,10.4,400796,0,,0,business loan,Long Term,523622,197999,3608,644,1
1993,Home Mortgage,868509,6 years,0,7,36.4,185460,1,18,1,debt consolidation,Short Term,223476,121087,12376,743,0
1994,Home Mortgage,1539608,10+ years,0,8,41.6,655380,0,,0,debt consolidation,Short Term,445676,526965,31049,749,1
1995,Rent,609938,1 year,0,9,16.1,273768,0,,0,medical bills,Short Term,119174,211850,10181,7130,1
1996,Rent,,7 years,0,4,35.2,276936,0,,0,business loan,Short Term,393756,151145,4087,,0
1997,Rent,619666,2 years,0,9,17,477884,0,,0,debt consolidation,Short Term,199298,192755,13219,738,0
1998,Home Mortgage,1253278,7 years,0,13,12.8,517506,0,74,0,debt consolidation,Short Term,263692,335654,17023,709,0
1999,Home Mortgage,860890,10+ years,0,7,12,790790,0,46,0,debt consolidation,Long Term,433400,303905,8250,697,0
2000,Home Mortgage,1506472,10+ years,0,12,14.5,491150,0,,0,home improvements,Long Term,601260,118769,22471,7230,1
2001,Home Mortgage,443859,4 years,0,7,15.2,310530,0,45,0,debt consolidation,Short Term,148038,148580,4291,726,0
2002,Home Mortgage,,10+ years,0,24,18.5,4428138,0,,0,debt consolidation,Short Term,397078,1587089,40865,,0
2003,Rent,899023,6 years,0,8,18.5,393360,0,,0,debt consolidation,Long Term,205634,242554,11193,727,0
2004,Home Mortgage,1965873,10+ years,0,5,19.6,700216,0,14,0,debt consolidation,Short Term,433576,298148,8011,748,0
2005,Rent,902728,4 years,0,8,10,177914,0,,0,business loan,Short Term,99999999,86203,13992,708,0
